mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_modelNN__dr,param_modelNN__l1,param_modelNN__l2,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
133.2515332698822,1.4336113530233112,1.7545785427093505,0.6422683050400345,0,16,16,"{'modelNN__dr': 0, 'modelNN__l1': 16, 'modelNN__l2': 16}",0.2602,0.3979,0.3633,0.3476,0.2653,0.32685999999999993,0.054841393125995626,13
135.789213848114,2.2665646885495514,1.3160152912139893,0.40791073580270787,0,16,32,"{'modelNN__dr': 0, 'modelNN__l1': 16, 'modelNN__l2': 32}",0.3214,0.3316,0.3729,0.3554,0.344,0.34506,0.018022608024367615,11
140.3215802669525,1.8280230599601779,2.222941541671753,0.25305610487340474,0,16,48,"{'modelNN__dr': 0, 'modelNN__l1': 16, 'modelNN__l2': 48}",0.3122,0.3671,0.2786,0.3382,0.189,0.29702,0.06139226009848472,16
154.41126985549926,1.5189562883978338,1.90030517578125,0.27556704187054204,0,32,16,"{'modelNN__dr': 0, 'modelNN__l1': 32, 'modelNN__l2': 16}",0.4153,0.3895,0.4358,0.4164,0.4287,0.41714,0.015809693229155337,4
162.93171300888062,1.1478716355967913,2.463985252380371,0.5910661956396708,0,32,32,"{'modelNN__dr': 0, 'modelNN__l1': 32, 'modelNN__l2': 32}",0.3921,0.4094,0.4085,0.4064,0.4022,0.40372,0.0063186707462883265,5
166.30337834358215,2.979075658828168,1.9746603488922119,0.26673247713779574,0,32,48,"{'modelNN__dr': 0, 'modelNN__l1': 32, 'modelNN__l2': 48}",0.3913,0.4151,0.3686,0.4291,0.4028,0.40137999999999996,0.020662952354395057,6
197.39279522895814,3.7793360566027707,3.0123444557189942,0.6348403578270568,0,48,16,"{'modelNN__dr': 0, 'modelNN__l1': 48, 'modelNN__l2': 16}",0.4159,0.4232,0.4315,0.4126,0.4289,0.42241999999999996,0.00726619570339252,2
202.11897835731506,6.293599126229734,2.271702241897583,0.4104860619511762,0,48,32,"{'modelNN__dr': 0, 'modelNN__l1': 48, 'modelNN__l2': 32}",0.4162,0.4135,0.4466,0.4089,0.4197,0.42098,0.013287196845083619,3
178.40932970046998,2.5142523189383232,2.61558575630188,0.9390861815415433,0,48,48,"{'modelNN__dr': 0, 'modelNN__l1': 48, 'modelNN__l2': 48}",0.4297,0.4264,0.4415,0.4035,0.4591,0.43204000000000004,0.018295092238083954,1
167.29321870803832,1.9635508766876684,1.7706984043121339,0.47778738469881893,0.2,16,16,"{'modelNN__dr': 0.2, 'modelNN__l1': 16, 'modelNN__l2': 16}",0.1828,0.3109,0.3023,0.3066,0.2274,0.266,0.0517576274572164,19
126.64588851928711,4.113334110123192,2.584832763671875,0.6173691583388069,0.2,16,32,"{'modelNN__dr': 0.2, 'modelNN__l1': 16, 'modelNN__l2': 32}",0.1858,0.1898,0.2853,0.2185,0.2176,0.21939999999999998,0.03564261494335117,24
128.53242349624634,1.4881715152416295,1.589612102508545,0.7306228871345757,0.2,16,48,"{'modelNN__dr': 0.2, 'modelNN__l1': 16, 'modelNN__l2': 48}",0.3145,0.3082,0.3159,0.2356,0.2245,0.27974,0.04080581331134082,18
137.25113043785095,2.888114587746302,2.5186583042144775,0.761739610036332,0.2,32,16,"{'modelNN__dr': 0.2, 'modelNN__l1': 32, 'modelNN__l2': 16}",0.3255,0.2996,0.2949,0.3357,0.3677,0.32468,0.026414723167203565,14
145.19604635238647,3.5232440890908223,2.0987618923187257,0.7102726582158547,0.2,32,32,"{'modelNN__dr': 0.2, 'modelNN__l1': 32, 'modelNN__l2': 32}",0.3343,0.3404,0.3396,0.361,0.3289,0.34084,0.01089487953122933,12
148.8685866355896,2.868034148964509,2.859868955612183,0.8973443683277688,0.2,32,48,"{'modelNN__dr': 0.2, 'modelNN__l1': 32, 'modelNN__l2': 48}",0.3586,0.3504,0.3621,0.3566,0.3443,0.3544,0.006321075857795087,10
159.8868411064148,4.161753595027129,2.825407123565674,0.7296215429048576,0.2,48,16,"{'modelNN__dr': 0.2, 'modelNN__l1': 48, 'modelNN__l2': 16}",0.371,0.3403,0.3672,0.367,0.3801,0.36512,0.013288099939419483,8
167.37712368965148,2.039136123442892,3.192027711868286,0.838858605337217,0.2,48,32,"{'modelNN__dr': 0.2, 'modelNN__l1': 48, 'modelNN__l2': 32}",0.3631,0.3274,0.3584,0.414,0.347,0.36197999999999997,0.028776128996096734,9
173.59915094375611,2.039705800818739,4.158847808837891,1.1565819497219467,0.2,48,48,"{'modelNN__dr': 0.2, 'modelNN__l1': 48, 'modelNN__l2': 48}",0.3544,0.3717,0.3925,0.3999,0.3935,0.38239999999999996,0.01691129799867533,7
123.2267149925232,2.8846947193968786,2.3551329612731933,0.44153583657572115,0.35,16,16,"{'modelNN__dr': 0.35, 'modelNN__l1': 16, 'modelNN__l2': 16}",0.175,0.1788,0.1515,0.2284,0.2201,0.19075999999999999,0.029018518225436666,27
124.0896828174591,1.1538264389852406,2.3089478492736815,0.2868297890104311,0.35,16,32,"{'modelNN__dr': 0.35, 'modelNN__l1': 16, 'modelNN__l2': 32}",0.2332,0.1629,0.2478,0.2358,0.2121,0.21836000000000003,0.030020299798636255,25
119.76581950187683,1.8731409994008188,2.564339828491211,0.6144006625358133,0.35,16,48,"{'modelNN__dr': 0.35, 'modelNN__l1': 16, 'modelNN__l2': 48}",0.1852,0.1887,0.1887,0.216,0.1977,0.19526,0.011165769118157509,26
139.4227310180664,4.245132090221223,2.332774591445923,0.4117218959338683,0.35,32,16,"{'modelNN__dr': 0.35, 'modelNN__l1': 32, 'modelNN__l2': 16}",0.2118,0.2629,0.2066,0.2141,0.2445,0.22798,0.02192655011624036,23
